question,answer
What is a go-around?,"A go-around is a procedure where the pilot aborts the landing approach and climbs away from the airport to make another attempt, usually due to traffic on the runway, poor visibility, or being unable to safely make the landing."
What is ADS-B?,"Automatic Dependent Surveillance–Broadcast (ADS-B) is a surveillance technology in which an aircraft determines its position via satellite navigation and periodically broadcasts it, enabling it to be tracked."
What does direct flight mean as opposed to non-stop flight?,"A direct flight can have stops along the way to its final destination but does not require passengers to change planes. A non-stop flight goes directly from the departure city to the destination without any stops."
What is a deadhead flight?,"A deadhead flight involves airline crew members being transported as passengers to another airport where they are needed to work on a departing flight."
What is the significance of the Mach number in aviation?,"The Mach number represents the ratio of an object's speed to the speed of sound in the surrounding medium. In aviation, it's used to describe the speed of aircraft relative to the speed of sound."
What is a Mayday call?,"A Mayday call is an international distress signal used by aircraft and ships, indicating a grave and imminent danger requiring immediate assistance."
What is a red-eye flight?,"A red-eye flight is a flight scheduled to depart at night and arrive the next morning, often leaving passengers with red eyes from lack of sleep."
What is the difference between a charter flight and a scheduled flight?,"A charter flight is a flight that is not part of an airline's regular, scheduled service and is often rented for private use. A scheduled flight is regularly occurring and available to the general public."
What is an FBO in aviation?,"A Fixed Base Operator (FBO) is a business granted the right by an airport to operate on the airport and provide aeronautical services such as fueling, hangaring, tie-down and parking, aircraft rental, aircraft maintenance, and flight instruction."
What does pushback mean in aviation?,"Pushback is the procedure of an aircraft being pushed backwards away from an airport gate by a tug or tow tractor, as most aircraft cannot reverse under their own power."
What is a flight level?,"Flight level refers to a standard nominal altitude of an aircraft, measured in hundreds of feet. It is used to ensure vertical separation between aircraft flying at high altitudes."
What are slots in the context of airport operations?,"Slots are permissions given by an airport or air traffic control authority to takeoff or land at a specific time, used to manage air traffic and minimize delays."
What is a taxiway?,"A taxiway is a path on an airport connecting runways with hangars, terminals, and other facilities, designated for the taxiing of aircraft from one area of the airport to another."
What does final approach mean?,"Final approach is the last leg in an aircraft's approach to land, where it is aligned with the runway and descending for landing."
What is altitude versus elevation?,"Altitude is the height of an object in the air relative to the sea level or ground level, while elevation is the height of the ground itself above sea level."
What is a missed approach in aviation?,"A missed approach occurs when an aircraft is unable to land on approach to a runway and must climb and make another attempt, often due to traffic, poor visibility, or misalignment with the runway."
What are standard operating procedures (SOPs) in aviation?,"SOPs in aviation are predefined, step-by-step instructions for flight crews to follow in specific operations to ensure safety and efficiency."
What is ground effect?,"Ground effect is the increased lift and decreased aerodynamic drag that an aircraft's wings generate when they are close to the ground, making it easier to take off or land."
What is a service ceiling?,"The service ceiling is the maximum altitude at which an aircraft can maintain a specified rate of climb, usually 100 feet per minute, under standard atmospheric conditions."
What is airspace congestion?,"Airspace congestion refers to a condition where the number of aircraft operating in a particular volume of airspace is at or near capacity, leading to potential delays and rerouting."
What is visual flight rules (VFR) weather minimum?,"VFR weather minimums are the specific conditions defined by visibility and distance from clouds that pilots must adhere to when flying under Visual Flight Rules."
What is a jet bridge?,"A jet bridge is a movable connector which extends from an airport terminal gate to an airplane, allowing passengers to board and disembark without being exposed to the outdoor elements."
What is a turnaround in aviation?,"Turnaround refers to the process of preparing an aircraft for its next flight after it has landed, including refueling, cleaning, and loading of passengers and cargo, with the goal of minimizing the time the aircraft spends on the ground."
What is a holding stack in air traffic control?,"A holding stack is a pattern for aircraft to fly in circles at different altitudes when awaiting clearance to land, used to manage air traffic near busy airports."
What does ETOPS stand for and what does it mean?,"ETOPS stands for Extended-range Twin-engine Operational Performance Standards, which are rules allowing twin-engine aircraft to fly routes that, at some points, are more than 60 minutes' flying time away from the nearest airport suitable for emergency landing."
What is yaw in aviation?,"Yaw refers to the rotation of an aircraft around its vertical axis, leading to movement to the left or right, controlled by the rudder."
What is the function of the pitot tube on an aircraft?,"The pitot tube measures airspeed by capturing the pressure of the moving air as the aircraft flies, which is crucial for safe flight operations."
What is a wet lease in aviation?,"A wet lease is an arrangement where one airline (lessor) provides an aircraft, complete crew, maintenance, and insurance (ACMI) to another airline or type of business acting as a broker of air travel (the lessee), which pays by hours operated."
What is clear air turbulence?,"Clear air turbulence (CAT) is a type of turbulence that occurs in clear skies without visual warning, often caused by atmospheric pressure, jet streams, air around mountains, cold or warm weather fronts, or thunderstorms."
What are line maintenance and base maintenance in aviation?,"Line maintenance includes routine maintenance tasks and minor repairs carried out between flights, while base maintenance involves more extensive inspections and repairs that require taking the aircraft out of service for a longer period."
What is a cost index in aviation?,"The cost index is a number used in flight planning and fuel policy to optimize the aircraft's speed and minimize overall costs based on fuel price, maintenance, crew wages, and other factors."
What is NextGen in U.S. aviation?,"NextGen is a modernization effort by the Federal Aviation Administration (FAA) aimed at improving air traffic control and airspace management through the use of advanced technologies, satellite-based navigation, and new procedures."
What does RVR stand for and why is it important?,"RVR stands for Runway Visual Range, which is a measure of the distance a pilot can see down the runway, an important factor in determining whether conditions are safe for takeoff and landing."
What is a slot-restricted airport?,"A slot-restricted airport is one where access is limited by the allocation of takeoff and landing slots to airlines, due to high traffic volumes and limited infrastructure capacity, to manage congestion and minimize delays."
What is angle of attack in aviation?,"The angle of attack is the angle between the chord line of the wing and the direction of the oncoming air. It's crucial for controlling lift, and excessive angles can lead to a stall."
What is Mode S transponder?,"Mode S (Selective) transponders are used in aircraft to provide air traffic control with additional information than what is provided by traditional radar, such as altitude, squawk code, and aircraft identification, enhancing surveillance and safety."
What is a dispatcher in aviation?,"A dispatcher is a professional responsible for planning flight paths, considering aircraft performance, weather, and regulations, to ensure safe and efficient flight operations."
What is Minimum Equipment List (MEL) in aviation?,"The Minimum Equipment List (MEL) is a document that specifies which aircraft systems and equipment can be inoperative for the aircraft to still be considered airworthy and safe for flight under specific conditions."
What is crew resource management (CRM)?,"Crew Resource Management (CRM) is the effective use of all available resources, including human resources, hardware, and information, to ensure flight safety and efficiency. It focuses on communication, decision-making, and teamwork among flight crew members."
What does RNAV stand for and how is it used?,"RNAV stands for Area Navigation, a method that allows an aircraft to fly on any desired flight path within the coverage of ground- or space-based navigation aids, within the limits of the capability of the self-contained system, or a combination thereof."
What is ADS-C?,"Automatic Dependent Surveillance-Contract (ADS-C) is a means of surveillance in which the aircraft automatically provides, via a data link, data derived from on-board navigation and position."
What is the glass cockpit?,"A glass cockpit refers to an aircraft cockpit that features electronic (digital) flight instrument displays, typically large LCD screens, rather than the traditional style of analog dials and gauges."
What are NOTAMs and why are they important for pilots?,"NOTAMs, or Notices to Airmen, are notices issued by aviation authorities to alert aircraft pilots of potential hazards along a flight route or at a location that could affect the flight's safety. They are crucial for pre-flight planning and in-flight decision-making."
What is QNH in aviation?,"QNH is a meteorological code denoting the atmospheric pressure adjusted to mean sea level. Pilots use it to calibrate their altimeters to ensure accurate altitude readings above sea level."
What is QFE?,"QFE is a meteorological code representing the atmospheric pressure at a specific reference point, usually an airfield or runway. Pilots use it to calibrate their altimeters for accurate altitude readings relative to that specific point, effectively showing height above the airfield."
What does squawk Mode C mean?,"Squawk Mode C refers to setting an aircraft's transponder to transmit altitude information in addition to the aircraft's squawk code, which helps air traffic control (ATC) monitor and separate aircraft more effectively."
What is a flight plan in aviation?,"A flight plan is a document filed by a pilot or a flight dispatcher with the local Civil Aviation Authority (CAA) or air traffic control, outlining the intended route, altitude, and other details of a flight. It's essential for air traffic management and safety."
What is block time in aviation?,"Block time refers to the duration from the moment an aircraft begins to move for departure to the moment it comes to rest after landing. It includes taxiing time and is used for scheduling, logging flight hours, and billing purposes."
What is CFIT?,"Controlled Flight Into Terrain (CFIT) is an accident where an airworthy aircraft, under pilot control, unintentionally flies into the ground, a mountain, water, or an obstacle. It often occurs due to loss of situational awareness or navigational error."
What are overwing exits?,"Overwing exits are emergency exit doors located over the wings of an aircraft, designed to be used for rapid evacuation of passengers in case of an emergency."
What is airspeed?,"Airspeed is the speed of an aircraft relative to the air through which it moves, measured in knots or miles per hour. Different types of airspeed include indicated airspeed (IAS), true airspeed (TAS), and groundspeed (GS)."
What is Class A airspace?,"Class A airspace is a category of controlled airspace where only IFR (Instrument Flight Rules) flights are permitted, and it typically extends from 18,000 feet mean sea level (MSL) up to and including flight level 600 in the United States."
What is a Type Rating?,"A Type Rating is a certification of an airplane pilot to fly a certain aircraft type that requires additional training beyond the scope of the initial license and qualifications, due to the complexity of the aircraft."
What is RVSM?,"Reduced Vertical Separation Minimum (RVSM) is an aviation standard that reduces the vertical separation between aircraft flying between flight level 290 and 410 from 2,000 feet to 1,000 feet, increasing airspace capacity and fuel efficiency."
What does V1 mean?,"V1 is the critical engine failure recognition speed or takeoff decision speed. It is the speed by which a decision to continue the takeoff must be made after an engine failure or problem has been detected."
What is a wet runway?,"A wet runway is one that is covered by water, slush, or wet snow, which can affect aircraft performance during takeoff and landing, particularly braking effectiveness and the risk of hydroplaning."
What is wind shear?,"Wind shear is a sudden change in wind speed and/or direction over a short distance, which can occur horizontally or vertically and is a potential hazard during takeoff and landing phases of flight."
What is ACARS?,"Aircraft Communications Addressing and Reporting System (ACARS) is a digital datalink system for transmission of short messages between aircraft and ground stations via airband radio or satellite."
What is Alternate Airport?,"An alternate airport is a pre-designated airport where a flight can divert to if it becomes necessary, due to weather, congestion, or emergencies at the planned destination airport."
at does pan-pan mean?,"Pan-pan is an international radio distress signal that indicates urgency but not immediate danger to life or the vessel (or aircraft). It signals that the crew needs assistance but is less critical than a mayday call."
What is decision height (DH)?,"A go-around from a missed approach occurs when an aircraft discontinues its landing attempt and climbs away from the runway to make another approach, often due to traffic, misalignment, or failure to establish visual contact with the runway."
What is angle of incidence?,"The angle of incidence is the fixed angle between the chord line of an aircraft's wing and the longitudinal axis of the aircraft. It is set by the manufacturer and affects the aircraft's aerodynamic characteristics."
